Exercise Name,Primary Muscle Group,Movement Type,Equipment Used,Archetype Tags,Other Tags,TimeEstimate,Muscle Subgroup,Training Purpose,Tempo Tags,Fatigue Level,Body Region
Single Arm Lat Pulldown,Back,Isolation,Cable,"Architect, Nomad, Prime","Vertical Pull, Unilateral",3–5 min,Upper Back,Aesthetics,Varied,Low CNS Load,Upper Body
Barbell Bulgarian Split Squat,Quads,Compound,Barbell,"Prime, Titan","Unilateral, Knee Dominant",6–10 min,Quads,Strength,Varied,High CNS Load,Lower Body
Reverse Lunge,Legs,Compound,Dumbbells,"Igniter, Nomad",Knee Dominant,6–10 min,General,Strength,Varied,Moderate,Lower Body
Hip Extension Machine,Glutes,Isolation,Machine,"Architect, Foundation, Sentinel","Hip Dominant, Glute Focus",3–5 min,Glutes,Aesthetics,Varied,Low CNS Load,Lower Body
Cable Romanian Deadlift,Hamstrings,Compound,Cable,"Apex, Nomad",Hip Dominant,6–10 min,Lower Back,Strength,Varied,Moderate,Lower Body
Weighted Plank,Core,Stability,Bodyweight + Weight,"Monk, Sentinel, Titan",Anti-Extension,4–6 min,Anterior Core,General,Varied,Moderate,Core
Mountain Climbers,Core,Flexion,Bodyweight,"Engine, Igniter, Monk","Core, Cardio",4–6 min,Anterior Core,General,Varied,Moderate,Core
Suitcase Carry,Core,Stability,Dumbbell,"Foundation, Vanguard",Anti-Lateral Flexion,4–6 min,Anterior Core,General,Varied,Moderate,Core
Power Snatch,Full Body,Explosive,Barbell,"Prime, Striker, Titan","Olympic, Explosive",4–6 min,General,General,Varied,Moderate,Full Body
Burpee Broad Jump,Full Body,Explosive,Bodyweight,"Engine, Igniter, Monk, Striker","Explosive, Plyometric",4–6 min,General,General,Explosive,Moderate,Full Body
Standing Hamstring Stretch,Hamstrings,Mobility,Bodyweight,"Foundation, Monk","Mobility, Flexibility",4–6 min,Hamstrings,Mobility,Varied,Moderate,Lower Body
Wall Hip Opener,Hips,Mobility,Bodyweight,"Monk, Sentinel","Mobility, Rehab",4–6 min,General,Mobility,Varied,Moderate,Lower Body
Wrist Circles,Wrists,Mobility,Bodyweight,"Monk, Sentinel","Mobility, Prehab",4–6 min,General,Mobility,Varied,Moderate,Full Body
Elliptical Machine,Full Body,Conditioning,Elliptical,"Foundation, Nomad",Cardio,5–12 min,General,Conditioning,Varied,Moderate CNS Load,Full Body
Boxing Rounds,Arms,Conditioning,Boxing Gloves,"Apex, Igniter","Conditioning, Coordination",5–12 min,General,Conditioning,Varied,Moderate CNS Load,Full Body
Jump Squat Tabata,Legs,Conditioning,Bodyweight,"Engine, Igniter, Monk, Striker","Cardio, Plyometric",5–12 min,General,Conditioning,Explosive,Moderate CNS Load,Lower Body
Concentration Curl,Biceps,Isolation,Dumbbells,"Architect, Foundation, Titan",Arm,3–5 min,Biceps,Aesthetics,Varied,Low CNS Load,Upper Body
Cable Lateral Raise,Shoulders,Isolation,Cable Machine,"Apex, Architect, Prime",Medial Delts,3–5 min,Upper Back,Aesthetics,Varied,Low CNS Load,Upper Body
Leg Extension,Quads,Isolation,Machine,"Architect, Foundation, Titan",Lower Body,3–5 min,Quads,Aesthetics,Varied,Low CNS Load,Lower Body
Leg Curl,Hamstrings,Isolation,Machine,"Architect, Foundation, Titan",Lower Body,3–5 min,Hamstrings,Aesthetics,Varied,Low CNS Load,Lower Body
Cable Tricep Kickback,Triceps,Isolation,Cable Machine,"Apex, Architect, Igniter",Arm,3–5 min,Triceps,Aesthetics,Varied,Low CNS Load,Upper Body
Single-Leg Romanian Deadlift,Glutes,Stability,Dumbbells,"Sentinel, Vanguard",Unilateral,4–6 min,Lower Back,General,Varied,Moderate,Lower Body
Suitcase Carry,Core,Stability,Kettlebell,"Engine, Vanguard",Anti-Lateral Flexion,4–6 min,Anterior Core,General,Varied,Moderate,Core
Bird Dog,Core,Stability,Bodyweight,"Foundation, Monk, Sentinel",Spinal Stability,4–6 min,Anterior Core,General,Varied,Moderate,Core
Lunge with Rotation,Glutes,Stability,Medicine Ball,"Igniter, Nomad",Balance,4–6 min,Glutes,General,Varied,Moderate,Lower Body
Staggered-Stance Deadlift,Hamstrings,Stability,Dumbbells,"Sentinel, Titan",Hinge Control,4–6 min,Lower Back,General,Varied,Moderate,Lower Body
Wall Sit,Quads,Isometric,Bodyweight,"Foundation, Monk, Nomad",Endurance Hold,4–6 min,Quads,General,Varied,Moderate,Lower Body
Glute Bridge Hold,Glutes,Isometric,Bodyweight,"Foundation, Igniter, Monk",Glute Activation,4–6 min,Glutes,General,Varied,Moderate,Lower Body
Dead Hang,Grip,Isometric,Pull-Up Bar,"Prime, Vanguard",Shoulder Decompression,4–6 min,General,General,Varied,Moderate,Full Body
Forearm Plank,Core,Isometric,Bodyweight,"All, Monk",Core Endurance,4–6 min,Anterior Core,General,Varied,Moderate,Core
Side Plank,Obliques,Isometric,Bodyweight,"Engine, Foundation, Monk",Anti-Rotation,4–6 min,Anterior Core,General,Varied,Moderate,Full Body
Cable Woodchopper,Obliques,Rotational,Cable Machine,"Engine, Prime",Transverse Plane,4–6 min,General,General,Varied,Moderate,Full Body
Russian Twist,Obliques,Rotational,Medicine Ball,"Igniter, Nomad",Twisting Core,4–6 min,General,General,Varied,Moderate,Full Body
Landmine Rotation,Obliques,Rotational,Barbell,"Apex, Sentinel",Anti-Rotation,4–6 min,General,General,Varied,Moderate,Full Body
Reverse Crunch,Abs,Flexion,Bodyweight,"Foundation, Igniter, Monk",Core,4–6 min,General,General,Varied,Moderate,Core
World’s Greatest Stretch,Mobility,Mobility,Bodyweight,"All, Monk",Dynamic Warm-Up,4–6 min,General,Mobility,Varied,Moderate,Full Body
Cat-Cow Stretch,Spine,Mobility,Bodyweight,"Foundation, Monk",Spinal Mobility,4–6 min,General,Mobility,Varied,Moderate,Full Body
Burpees,Full Body,Conditioning,Bodyweight,"Engine, Igniter, Monk",Cardio Burst,5–12 min,General,Conditioning,Varied,Moderate CNS Load,Full Body
High Knees,Legs,Conditioning,Bodyweight,"Igniter, Monk",Cardio Drill,5–12 min,General,Conditioning,Varied,Moderate CNS Load,Lower Body
Sled Pull,Back,Conditioning,Sled,"Prime, Titan",Loaded Conditioning,5–12 min,General,Conditioning,Varied,Moderate CNS Load,Upper Body
Seated Russian Twist with Plate,Obliques,Rotational,Plate,"Engine, Prime","Core, Rotation",4–6 min,Upper Back,General,Varied,Moderate,Full Body
Medicine Ball Rotational Throw,Obliques,Rotational,Medicine Ball,"Apex, Igniter, Striker","Explosive, Conditioning",4–6 min,Mid Back,General,Controlled,Moderate,Full Body
Landmine Twist,Obliques,Rotational,Barbell,"Apex, Sentinel",Anti-Rotation,4–6 min,General,General,Varied,Moderate,Full Body
Hanging Knee Raise,Abs,Flexion,Pull-Up Bar,"Engine, Igniter",Core,4–6 min,General,General,Varied,Moderate,Core
Decline Sit-Up,Abs,Flexion,Decline Bench,"Foundation, Titan",Anterior Core,4–6 min,General,General,Varied,Moderate,Core
Bicycle Crunch,Abs,Flexion,Bodyweight,"Igniter, Monk, Nomad",Core,4–6 min,General,General,Varied,Moderate,Core
Overhead Plate Hold,Shoulders,Isometric,Plate,"Sentinel, Vanguard",Shoulder Stability,4–6 min,Upper Back,General,Varied,Moderate,Upper Body
Lunge Hold,Quads,Isometric,Bodyweight,"Foundation, Monk, Nomad",Balance,4–6 min,Quads,General,Varied,Moderate,Lower Body
Ring Support Hold,Shoulders,Isometric,Rings,"Apex, Vanguard",Core Stability,4–6 min,Anterior Delts,General,Varied,Moderate,Upper Body
